,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XTZ-USD,2.504398025464451,16.0
1,SNX-USD,ENJ-USD,7.049142326566377,5.0
2,SNX-USD,FIL-USD,0.5052640909313395,13.0
3,SNX-USD,ZRX-USD,10.40902622568888,14.0
4,SNX-USD,COMP-USD,0.06567963643373831,10.0
5,SNX-USD,NEAR-USD,1.4812319061922898,8.0
6,SNX-USD,ADA-USD,6.684648685168806,16.0
7,SNX-USD,UMA-USD,1.2037506826795912,12.0
8,SNX-USD,SOL-USD,0.11542797558524684,15.0
9,XTZ-USD,LINK-USD,0.1393614689837589,9.0
10,XTZ-USD,ENJ-USD,2.813141204138133,17.0
11,XTZ-USD,TRX-USD,10.533514049902955,20.0
12,XTZ-USD,ADA-USD,2.667522888801937,22.0
13,XTZ-USD,UMA-USD,0.48058078542223676,7.0
14,XTZ-USD,DOGE-USD,11.9401933936828,18.0
15,XTZ-USD,AVAX-USD,0.06173845758277139,18.0
16,ICP-USD,ALGO-USD,33.76142196163361,14.0
17,ICP-USD,UNI-USD,0.8964909942234329,12.0
18,ETC-USD,ZRX-USD,86.14790644760905,7.0
19,ETC-USD,NEAR-USD,12.252631425549769,23.0
20,ETC-USD,DOGE-USD,247.60341458815694,10.0
21,ZEC-USD,COMP-USD,0.909974906606086,8.0
22,ZEC-USD,DOGE-USD,414.38130172300697,21.0
23,LINK-USD,TRX-USD,75.58173119975444,19.0
24,BCH-USD,BTC-USD,0.004112752045171777,19.0
25,CELO-USD,ADA-USD,1.4940536878393704,22.0
26,CELO-USD,UMA-USD,0.2691684279141988,8.0
27,CELO-USD,DOT-USD,0.09108165811262577,19.0
28,CELO-USD,DOGE-USD,6.6878740031416655,19.0
29,CELO-USD,LTC-USD,0.005289302326105094,9.0
30,CELO-USD,AVAX-USD,0.034578408239131705,24.0
31,ENJ-USD,ZRX-USD,1.476626815433032,12.0
32,ENJ-USD,COMP-USD,0.009317166280869829,8.0
33,ENJ-USD,NEAR-USD,0.21011673288888535,5.0
34,ENJ-USD,UMA-USD,0.17075885620464368,12.0
35,ENJ-USD,SOL-USD,0.016374861488776763,12.0
36,FIL-USD,NEAR-USD,2.9298939536578033,14.0
37,ZRX-USD,NEAR-USD,0.1422471428382182,10.0
38,ZRX-USD,UMA-USD,0.11562775843561122,9.0
39,ZRX-USD,DOGE-USD,2.87344307015872,12.0
40,ZRX-USD,1INCH-USD,0.6347770896208782,12.0
41,TRX-USD,UMA-USD,0.045571403577089185,21.0
42,TRX-USD,DOGE-USD,1.1330706136943434,11.0
43,COMP-USD,NEAR-USD,22.545507562430032,8.0
44,NEAR-USD,UMA-USD,0.8125826581462583,11.0
45,NEAR-USD,SOL-USD,0.07792030343699127,19.0
46,NEAR-USD,DOGE-USD,20.18784481288136,23.0
47,NEAR-USD,LTC-USD,0.01596748009391537,17.0
48,NEAR-USD,1INCH-USD,4.461777417327714,9.0
49,XMR-USD,ETH-USD,0.07883840344434671,9.0
50,ADA-USD,UMA-USD,0.17988564192941608,16.0
51,ADA-USD,MATIC-USD,0.4282733040217158,13.0
52,UMA-USD,DOT-USD,0.33829937954573874,16.0
53,UMA-USD,CRV-USD,2.3484174279763046,15.0
54,UMA-USD,SOL-USD,0.0958291043998934,15.0
55,UMA-USD,LTC-USD,0.019645782311162402,10.0
56,UMA-USD,MATIC-USD,2.3768740210093395,21.0
57,UMA-USD,AVAX-USD,0.12845071993493767,11.0
58,DOT-USD,DOGE-USD,73.42180301374192,12.0
59,DOGE-USD,LTC-USD,0.000790414481523207,18.0
60,LTC-USD,1INCH-USD,279.3243654749995,12.0
61,MATIC-USD,AVAX-USD,0.053963176301681466,16.0
